,subject,session,scan,cjv,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
10,sub-12,single_session,T1w,0.492464274168,1.77365815639,0.509477711689,266.868499756,3.85522,3.86885,3.91204,3.78584,0.209372665683,0.408367585905,0.382259748412,0.949278354645,0.354499816895,0.00355788036701,0.979638238026,95046.0625,171931.203125,59978.2773438,176,256,256,19.4558296109,12.2258486355,18.5615816762,27.5800585211,1.0,1.0,1.0,226.27230835,82.0021133423,133.149108887,263.010467529,98.0,34.5000076294,26.1800537109,86.6400680542,355.0,133.0,239.0,370.0,82.4600601196,47.7755699158,67.0430679321,90.813659668
11,sub-24,single_session,T1w,0.467987000942,2.02800178528,0.52445251529,234.782318115,3.93414,3.83567,4.00688,3.9619,0.213577106305,0.431725941493,0.354696952202,0.951574265957,0.337401020527,0.00172808333609,0.956460339864,96887.2890625,195074.359375,63242.9257812,176,256,256,17.9847467572,10.2660083427,16.9408142201,26.7474177088,1.0,1.0,1.0,225.358947754,76.3925170898,136.625350952,272.207763672,86.0,31.0500011444,26.4600582123,84.0000610352,370.0,128.0,238.0,387.0,90.4482955933,46.71276474,66.1373825073,98.5085525513
12,sub-08,single_session,T1w,0.486709535122,1.92049360275,0.492921252172,335.535949707,4.26818,4.09429,4.39461,4.32146,0.227992506401,0.392853340241,0.379154153357,0.797545492649,0.291758108139,0.00135133301836,0.979295774683,97880.921875,200318.328125,64618.671875,176,256,256,21.3236682278,13.3103262691,20.2515077732,30.4091706411,1.0,1.0,1.0,248.055664062,90.9387893677,143.725784302,293.963745117,105.0,40.8900032043,30.4800548553,100.860061646,393.0,145.0,259.0,407.0,92.1913909912,43.618434906,72.896194458,99.3137817383
13,sub-16,single_session,T1w,0.509022831917,1.49647378922,0.562358889403,185.855377197,3.95576,3.94026,3.98736,3.93986,0.217694650112,0.390792027306,0.391513322582,1.05498886108,0.408163297176,0.00405711626204,0.956403524378,96724.96875,192986.53125,74519.9765625,176,256,256,15.6534375841,8.42389451038,15.4298747619,23.10654348,1.0,1.0,1.0,203.909606934,68.0500869751,123.036254883,243.208786011,67.0,29.1600036621,25.2000350952,75.8500595093,332.0,115.0,216.0,348.0,82.9010848999,38.0945625305,60.018245697,87.079536438
14,sub-23,single_session,T1w,0.496934115887,1.97745978832,0.507383207679,265.508666992,4.11716,4.06808,4.13771,4.14613,0.214743659539,0.412204779996,0.373051560465,0.898913681507,0.356992989779,0.00277283744944,0.95460956732,92979.921875,186300.71875,64463.453125,176,256,256,19.2412792436,11.3067302671,18.3465630172,28.0705444464,1.0,1.0,1.0,234.248535156,80.2121276855,138.657485962,279.473083496,89.0,33.0,29.0000476837,88.9685611725,380.0,131.0,246.0,396.0,93.3702697754,49.3443450928,68.736541748,100.087631226
15,sub-03,single_session,T1w,0.499918282032,1.83697509766,0.507201813439,283.561737061,4.41152,4.37998,4.39149,4.46358,0.253550209277,0.385289459525,0.361160331198,0.878228604794,0.31118708849,0.0240818469012,0.977654743851,90698.6640625,189054.328125,58876.6953125,176,256,256,19.5826005596,11.5715765896,18.6053447081,28.5708803812,1.0,1.0,1.0,241.58442688,89.5095367432,142.46925354,294.204559326,94.0,39.7100067139,30.6660461426,99.7500915527,394.0,144.0,257.0,409.0,95.8014907837,40.0720214844,72.3644866943,101.56741333
16,sub-20,single_session,T1w,0.497265428305,1.64679157734,0.568172771076,183.087646484,4.13912,4.01617,4.24183,4.16253,0.208263335474,0.398586156657,0.393150507869,1.00542283058,0.397175687551,0.00361200161295,0.985485578639,96916.234375,192257.828125,66509.9921875,176,256,256,15.3515552017,8.78533239683,14.7195118362,22.5498213721,1.0,1.0,1.0,218.446975708,72.8358612061,127.053283691,260.421722412,81.0,31.4500026703,25.4400444031,85.0200653076,351.0,120.0,228.999847412,365.0,86.9457168579,45.0388679504,64.0529098511,90.0200881958
17,sub-26,single_session,T1w,0.501052320004,1.67855668068,0.551398313099,176.955581665,3.93774,3.86217,4.02963,3.92323,0.207759790984,0.401226869746,0.391013339269,1.03877484798,0.420244154334,0.00682865863615,0.963784241408,88546.4375,178842.25,66387.296875,176,256,256,15.8468333892,9.53232566358,15.2908867991,22.717287705,1.0,1.0,1.0,224.847808838,79.2249603271,134.84576416,261.605377197,90.0,33.3500061035,28.7500553131,85.1400909424,355.0,133.0,244.0,371.0,83.9509048462,40.7041473389,66.9677963257,91.2863769531
18,sub-13,single_session,T1w,0.480832099915,1.77966415882,0.507827232768,264.494842529,3.86392,3.8308,3.98307,3.78075,0.207699667916,0.432279883624,0.36002044846,1.13823699951,0.375702106953,0.0387635018217,0.980466861508,82447.1328125,158193.609375,54943.7929688,176,256,256,18.6987666074,10.8622477787,17.6326447949,27.6014072487,1.0,1.0,1.0,223.96333313,76.6967926025,134.219833374,266.529296875,89.0,34.0200042725,26.1800537109,84.6300582886,362.0,125.489959717,236.0,378.0,87.4398422241,48.4411087036,66.0450210571,95.5103302002
19,sub-19,single_session,T1w,0.511729180813,1.81479752064,0.466465597231,218.070739746,3.94296,3.85032,3.99368,3.98657,0.20776777938,0.43356196132,0.3586702593,0.957906007767,0.36716234684,0.00159041124444,0.981601663772,83825.28125,152680.265625,62240.8007812,176,256,256,17.5545581664,11.0128264798,16.8937355995,24.7571124198,1.0,1.0,1.0,234.696762085,84.9760360718,144.82081604,268.8487854,100.0,33.4800033569,31.9200687408,82.8300857544,372.0,140.0,252.0,388.0,85.998626709,47.6461296082,69.0837173462,101.098876953
20,sub-17,single_session,T1w,0.499973207712,1.76327717304,0.513959093698,238.411331177,3.8151,3.76713,3.83409,3.84456,0.201154870035,0.408348450997,0.390496678968,1.00542807579,0.339195978642,0.0207071140625,1.00205759247,87994.6328125,166597.15625,63415.6523438,176,256,256,17.2479006628,10.1120673143,16.6704296337,24.9612050404,1.0,1.0,1.0,240.480300903,82.407951355,143.393478394,280.863494873,93.0,34.0000038147,29.5200519562,91.1200866699,377.0,136.0,251.0,391.0,91.0945739746,54.0299491882,70.2536468506,97.2340927124
21,sub-06,single_session,T1w,0.483469307423,2.30472564697,0.504511208841,263.079071045,3.90639,3.85931,3.95207,3.90834,0.216092707591,0.420564082943,0.363343209466,0.834046423435,0.300943183899,0.00334911154207,0.958063436483,98018.375,189249.984375,62206.9570312,176,256,256,19.3091409051,11.3068795699,18.3053839584,28.315159187,1.0,1.0,1.0,231.767684937,80.0782852173,137.880584717,276.7996521,90.0,33.8000068665,25.8300552368,88.2000427246,375.0,129.0,245.0,390.0,90.8157577515,47.1824073792,69.05027771,98.5303421021
22,sub-21,single_session,T1w,0.546619534492,1.56537687778,0.496133086699,151.985931396,3.92852,3.87791,4.02402,3.88535,0.204778311539,0.414016680296,0.381205008166,1.19324469566,0.529195612669,0.0296533572278,0.987766893737,80720.765625,155874.640625,73521.1171875,176,256,256,14.0201272107,8.47792509942,13.7213313664,19.8611251662,1.0,1.0,1.0,241.062591553,85.1517868042,147.162719727,273.891143799,93.0,33.280002594,33.6000480652,79.2000656128,387.0,143.639938354,259.0,405.0,92.3877105713,49.0444030762,70.1620254517,106.779212952
23,sub-22,single_session,T1w,0.508534312248,1.88639605045,0.460105092557,278.08770752,4.0225,4.02674,4.02948,4.01132,0.217444927191,0.413256541074,0.369298531735,1.01694512367,0.345078706741,0.0726408347176,1.02734602296,80872.953125,153803.03125,59747.3867188,176,256,256,18.7486401715,11.2723823536,17.9623564812,27.0111816796,1.0,1.0,1.0,259.008911133,91.9474945068,154.950164795,302.204711914,105.0,38.8700065613,32.6000747681,95.0900802612,413.0,149.0,269.0,429.0,97.2615814209,44.7558937073,75.391746521,110.662651062
24,sub-05,single_session,T1w,0.499579161406,1.75740921497,0.542864720286,184.09777832,3.9161,3.79957,3.9978,3.95373,0.196749745869,0.451569120397,0.351681133734,1.02363312244,0.468776762486,0.00510729230947,0.9605727789,95016.3359375,169805.40625,66700.3203125,176,256,256,16.2653926967,9.38504654534,15.7111207287,23.700010816,1.0,1.0,1.0,219.064102173,73.434211731,137.039535522,257.488922119,80.0,26.3999977112,25.7400512695,73.340057373,362.0,126.0,236.0,378.0,88.4015274048,52.471862793,65.1226654053,100.394355774
25,sub-15,single_session,T1w,0.518979787827,1.44192433357,0.523485880982,212.439788818,3.76902,3.84418,3.68601,3.77856,0.205051086448,0.420639177427,0.374309736124,1.26475656033,0.468634533882,0.000642419746784,0.978595292289,76014.53125,145668.078125,57543.8398438,176,256,256,17.1517542106,10.3380172059,16.6375960891,24.4796493369,1.0,1.0,1.0,221.761642456,78.3980407715,136.204177856,254.507888794,89.0,33.6000061035,28.9800548553,81.2001037598,351.0,130.0,243.0,366.0,82.35887146,47.2483634949,67.2930297852,91.9174957275
